,loan_amnt,installment,annual_inc,result,type
100,6200,199.8,25000,1,娑块箍鍘?
101,16000,402.65,65000,0,璧ゅ煄鍘?
102,6000,190.52,28800,0,瀹氬叴鍘?
103,7200,232.02,135000,0,鍞愬幙
104,9500,301.66,50000,0,楂橀槼鍘?
105,18825,465.53,38000,1,瀹瑰煄鍘?
106,24000,781.76,45000,0,娑炴簮鍘?
107,6000,203.59,80000,0,鏈涢兘鍘?
108,6000,203.59,50000,0,瀹夋柊鍘?
109,2100,70.18,30000,0,鏄撳幙
110,5500,168.88,110000,0,鏇查槼鍘?
111,11000,337.75,45608,0,锠″幙
112,26800,723.38,120000,0,椤哄钩鍘?
113,8000,268.36,35000,0,鍗氶噹鍘?
114,10000,362.78,75000,1,闆勫幙
115,8000,264.61,35000,0,娑垮窞甯?
116,10000,317.54,24000,0,瀹氬窞甯?
117,12000,396.92,126000,0,瀹夊浗甯?
118,10000,312.91,43000,0,楂樼搴楀競
119,12000,386.7,50000,0,寮犲鍙ｅ競
120,25000,575.12,67000,1,妗ヤ笢鍖?
121,19750,643.33,45000,1,妗ヨタ鍖?
122,10000,322.25,31200,0,瀹ｅ寲鍖?
123,13650,456.12,66000,0,涓嬭姳鍥尯
124,28000,312.04,52000,1,涓囧叏鍖?
125,18000,563.23,56964,0,宕囩ぜ鍖?
126,2500,85.78,49500,0,寮犲寳鍘?
127,21000,559.89,70000,0,搴蜂繚鍘?
128,35000,1111.37,125000,0,娌芥簮鍘?
129,10000,311.11,33000,0,灏氫箟鍘?
130,7000,234.82,30000,0,钄氬幙
131,24000,843.3,90000,1,闃冲師鍘?
132,10625,330.56,23000,0,鎬€瀹夊幙
133,5000,172.48,24000,0,鎬€鏉ュ幙
134,8850,271.73,62000,0,娑块箍鍘?
135,6375,198.34,44000,0,璧ゅ煄鍘?
136,6000,198.46,90000,0,瀹氬叴鍘?
137,11100,340.82,41000,1,鍞愬幙
138,10000,225.95,56000,0,楂橀槼鍘?
139,6200,188.71,26500,0,瀹瑰煄鍘?
140,15000,547.12,54000,0,娑炴簮鍘?
141,4200,138.92,53000,0,鏈涢兘鍘?
142,14000,480.33,52800,0,瀹夋柊鍘?
143,8875,276.11,38000,0,鏄撳幙
144,13500,435.04,38000,0,鏇查槼鍘?
145,12000,386.7,42000,1,锠″幙
146,16000,423.11,55000,0,椤哄钩鍘?
147,21600,565.32,60000,0,鍗氶噹鍘?
148,6000,195.44,87000,0,闆勫幙
149,8450,208.97,25000,0,娑垮窞甯?
150,20000,460.1,82000,0,瀹氬窞甯?
151,10000,330.76,60000,1,瀹夊浗甯?
152,12000,423.61,80000,0,楂樼搴楀競
153,13475,309.99,25000,1,寮犲鍙ｅ競
154,7200,240.59,48000,0,妗ヤ笢鍖?
155,5600,193.17,85000,1,妗ヨタ鍖?
156,12000,411.71,57000,0,瀹ｅ寲鍖?
157,8500,258.71,25000,0,涓嬭姳鍥尯
158,8000,257.8,34000,0,涓囧叏鍖?
159,8000,267.33,40000,0,宕囩ぜ鍖?
160,16000,382.92,42656.4,0,寮犲寳鍘?
161,15000,536.81,44400,0,搴蜂繚鍘?
162,10000,322.25,30000,0,娌芥簮鍘?
163,10000,307.04,70000,0,灏氫箟鍘?
164,8000,275.96,28000,0,钄氬幙
165,22000,708.95,50000,0,闃冲師鍘?
166,6000,205.86,94800,0,鎬€瀹夊幙
167,16000,339.25,40000,0,鎬€鏉ュ幙
168,2500,77.78,12000,1,娑块箍鍘?
169,13500,435.04,36000,0,璧ゅ煄鍘?
170,25000,835.39,225000,0,瀹氬叴鍘?
171,10000,339.31,45900,0,鍞愬幙
172,2500,84.83,27200,0,楂橀槼鍘?
173,7325,245.72,42000,0,瀹瑰煄鍘?
174,4000,133.67,135000,0,娑炴簮鍘?
175,10000,339.31,65000,1,鏈涢兘鍘?
176,7750,277.36,24000,1,瀹夋柊鍘?
177,20000,539.84,70000,1,鏄撳幙
178,9600,320.79,65000,0,鏇查槼鍘?
179,21000,464.07,60000,1,锠″幙
180,14000,456.03,30000,0,椤哄钩鍘?
181,13350,446.1,43000,0,鍗氶噹鍘?
182,15000,533.08,42000,1,闆勫幙
183,15000,536.81,75000,1,娑垮窞甯?
184,11000,253.06,129000,0,瀹氬窞甯?
185,35000,1140.07,168000,0,瀹夊浗甯?
186,9000,293.16,74000,0,楂樼搴楀競
187,22475,537.87,52000,0,寮犲鍙ｅ競
188,16000,536.72,58500,1,妗ヤ笢鍖?
189,13500,452.86,71000,0,妗ヨタ鍖?
190,24000,805.08,75000,0,瀹ｅ寲鍖?
191,12000,390.88,60000,0,涓嬭姳鍥尯
192,8400,207.73,87996,0,涓囧叏鍖?
193,28000,704.64,140000,0,宕囩ぜ鍖?
194,14000,429.86,66000,0,寮犲寳鍘?
195,12000,411.71,70000,1,搴蜂繚鍘?
196,25000,826.9,100000,0,娌芥簮鍘?
197,9000,301.91,50000,0,灏氫箟鍘?
198,13250,431.6,35000,0,钄氬幙
199,20000,678.61,75000,0,闃冲師鍘?
200,3000,103.49,71000,0,鎬€瀹夊幙
201,7350,239.42,48000,0,鎬€鏉ュ幙
202,11500,400.18,36000,0,娑块箍鍘?
203,13650,456.12,86000,1,璧ゅ煄鍘?
204,10500,370.66,30000,1,瀹氬叴鍘?
205,12000,386.7,60000,0,鍞愬幙
206,6000,190.52,34000,0,楂橀槼鍘?
207,11500,400.18,44200,0,瀹瑰煄鍘?
208,7000,233.91,82000,0,娑炴簮鍘?
209,29500,786.51,83000,0,鏈涢兘鍘?
210,2000,69.6,41000,0,瀹夋柊鍘?
211,11625,394.45,36000,0,鏄撳幙
212,15075,517.21,35000,1,鏇查槼鍘?
213,5300,184.43,30000,0,锠″幙
214,8200,251.77,40000,0,椤哄钩鍘?
215,12000,400.99,105000,0,鍗氶噹鍘?
216,8650,296.78,45000,0,闆勫幙
217,21000,294.98,109000,0,娑垮窞甯?
218,16000,399.97,50000,0,瀹氬窞甯?
219,12000,400.99,83000,0,瀹夊浗甯?
220,9500,318.68,52500,1,楂樼搴楀競
221,7400,251.09,25000,0,寮犲鍙ｅ競
222,14400,488.6,60000,0,妗ヤ笢鍖?
223,24250,519.76,120000,0,妗ヨタ鍖?
224,7200,225.29,68000,1,瀹ｅ寲鍖?
225,26000,642.96,53000,1,涓嬭姳鍥尯
226,7000,154.69,69600,1,涓囧叏鍖?
227,4000,124.45,65000,0,宕囩ぜ鍖?
228,1500,53.69,144000,0,寮犲寳鍘?
229,19600,654.94,75000,0,搴蜂繚鍘?
230,2500,82.69,29000,0,娌芥簮鍘?
231,10000,335.45,70000,1,灏氫箟鍘?
232,10000,307.04,45000,0,钄氬幙
233,4225,141.18,55200,0,闃冲師鍘?
234,3500,109.52,61440,0,鎬€瀹夊幙
235,12000,368.45,56000,0,鎬€鏉ュ幙
236,16500,523.93,47000,0,娑块箍鍘?
237,22000,603.5,55000,0,璧ゅ煄鍘?
238,12000,413.94,71000,0,瀹氬叴鍘?
239,15600,352.48,50000,1,鍞愬幙
240,10800,360.89,135000,0,楂橀槼鍘?
241,14000,467.82,63000,0,瀹瑰煄鍘?
242,18825,473.75,44000,0,娑炴簮鍘?
243,6000,203.59,50000,0,鏈涢兘鍘?
244,12000,386.7,80000,0,瀹夋柊鍘?
245,10000,334.16,45000,0,鏄撳幙
246,8000,250.33,78000,0,鏇查槼鍘?
247,14125,455.18,33000,0,锠″幙
248,14000,469.63,62800,0,椤哄钩鍘?
249,13200,224.36,26400,0,鍗氶噹鍘?
250,4000,146.69,80000,0,闆勫幙
251,4000,134.18,25000,1,娑垮窞甯?
252,10500,319.58,65000,0,瀹氬窞甯?
253,5500,172.1,59000,0,瀹夊浗甯?
254,7350,243.11,33000,0,楂樼搴楀競
255,10000,334.16,39000,1,寮犲鍙ｅ競
256,12000,373.33,42000,0,妗ヤ笢鍖?
257,5000,110.5,38004,0,妗ヨタ鍖?
258,8000,176.79,31000,0,瀹ｅ寲鍖?
259,4500,142.89,50700,0,涓嬭姳鍥尯
260,18000,601.48,75000,0,涓囧叏鍖?
261,12300,282.96,30000,0,宕囩ぜ鍖?
262,12000,407.17,40000,0,寮犲寳鍘?
263,10000,339.31,50000,0,搴蜂繚鍘?
264,6000,187.75,80000,0,娌芥簮鍘?
265,12000,402.54,40000,0,灏氫箟鍘?
266,12000,381.04,80000,1,钄氬幙
267,7000,231.54,75000,0,闃冲師鍘?
268,35000,690.56,85000,0,鎬€瀹夊幙
269,1400,43.81,28800,0,鎬€鏉ュ幙
270,16000,368.08,35000,1,娑块箍鍘?
271,3200,103.12,61200,0,璧ゅ煄鍘?
272,8000,250.33,40000,0,瀹氬叴鍘?
273,11875,268.32,25920,1,鍞愬幙
274,5000,152.18,54000,0,楂橀槼鍘?
275,1800,55.27,18000,0,瀹瑰煄鍘?
276,35000,1111.37,85000,0,娑炴簮鍘?
277,18000,571.56,78000,0,鏈涢兘鍘?
278,14000,438.07,45600,1,瀹夋柊鍘?
279,5000,167.08,70000,0,鏄撳幙
280,8000,281.1,70000,0,鏇查槼鍘?
281,10000,304.36,80000,0,锠″幙
282,10000,311.11,50000,0,椤哄钩鍘?
283,12000,400.99,35000,0,鍗氶噹鍘?
284,23200,725.94,65000,0,闆勫幙
285,18000,430.78,84000,0,娑垮窞甯?
286,4800,167.03,75000,0,瀹氬窞甯?
287,7300,241.46,35000,0,瀹夊浗甯?
288,10400,335.14,40000,0,楂樼搴楀競
289,6600,212.69,100000,0,寮犲鍙ｅ競
290,12000,381.04,40000,0,妗ヤ笢鍖?
291,13250,474.19,52000,0,妗ヨタ鍖?
292,12000,396.92,92500,0,瀹ｅ寲鍖?
293,25000,805.63,61000,0,涓嬭姳鍥尯
294,6000,195.44,36000,0,涓囧叏鍖?
295,12000,373.33,68000,0,宕囩ぜ鍖?
296,14400,476.3,80000,0,寮犲寳鍘?
297,10000,334.16,43000,0,搴蜂繚鍘?
298,8000,264.61,150000,0,娌芥簮鍘?
299,8000,282.41,50000,1,灏氫箟鍘?
300,30000,673.72,70000,1,钄氬幙
301,18000,445.13,40000,1,闃冲師鍘?
302,13250,438.26,35000,0,鎬€瀹夊幙
303,14000,480.33,80000,0,鎬€鏉ュ幙
304,20000,533.23,59000,1,娑块箍鍘?
305,10000,353.01,40000,0,璧ゅ煄鍘?
306,35000,619.88,85000,0,瀹氬叴鍘?
307,4000,121.75,55000,0,鍞愬幙
308,13000,418.93,110000,0,楂橀槼鍘?
309,28000,939.26,100000,0,瀹瑰煄鍘?
310,10000,339.31,62000,0,娑炴簮鍘?
311,20000,625.81,45000,0,鏈涢兘鍘?
312,18000,580.05,110000,0,瀹夋柊鍘?
313,9000,238,60000,1,鏄撳幙
314,25000,643.58,61500,1,鏇查槼鍘?
315,10000,330.76,33000,0,锠″幙
316,4200,127.83,61000,0,椤哄钩鍘?
317,20000,478.64,78216,1,鍗氶噹鍘?
318,18000,449.97,62000,1,闆勫幙
319,24000,847.21,50964,0,娑垮窞甯?
320,4475,155.72,43680,0,瀹氬窞甯?
321,20000,472.14,56000,0,瀹夊浗甯?
322,12000,400.99,50700,0,楂樼搴楀競
323,18000,452.98,60000,0,寮犲鍙ｅ競
324,5000,167.08,30000,1,妗ヤ笢鍖?
325,3000,91.31,50000,0,妗ヨタ鍖?
326,25000,648.93,75000,0,瀹ｅ寲鍖?
327,18000,467.23,90000,0,涓嬭姳鍥尯
328,12000,386.7,55000,1,涓囧叏鍖?
329,20000,695.96,50000,0,宕囩ぜ鍖?
330,10000,339.31,84000,0,寮犲寳鍘?
331,15000,501.23,155000,0,搴蜂繚鍘?
332,12000,375.49,62000,0,娌芥簮鍘?
333,20000,290.64,175000,0,灏氫箟鍘?
334,6300,208.38,30000,0,钄氬幙
335,20000,494.59,50000,0,闃冲師鍘?
336,35000,578.71,208000,0,鎬€瀹夊幙
337,8250,200.45,35004,0,鎬€鏉ュ幙
338,20000,451.9,85000,0,娑块箍鍘?
339,10000,330.76,32000,1,璧ゅ煄鍘?
340,24000,762.08,116400,1,瀹氬叴鍘?
341,14400,483.05,40000,0,鍞愬幙
342,6000,206.97,34000,0,楂橀槼鍘?
343,22000,773.03,73000,0,瀹瑰煄鍘?
344,12000,396.92,57200,1,娑炴簮鍘?
345,16000,568.62,114000,0,鏈涢兘鍘?
346,10000,325.74,90000,0,瀹夋柊鍘?
347,16000,301.76,54000,0,鏄撳幙
348,10000,335.45,35000,1,鏇查槼鍘?
349,3500,118.76,56000,0,锠″幙
350,9600,309.36,35000,0,椤哄钩鍘?
351,9875,309,40000,0,鍗氶噹鍘?
352,21500,427.19,59000,0,闆勫幙
353,4800,150.2,48000,0,娑垮窞甯?
354,7800,237.4,85000,0,瀹氬窞甯?
355,20000,686.18,70000,0,瀹夊浗甯?
356,9750,303.34,35000,1,楂樼搴楀競
357,18000,365.67,91000,0,寮犲鍙ｅ競
358,5000,152.18,30000,0,妗ヤ笢鍖?
359,9000,310.45,45000,0,妗ヨタ鍖?
360,7200,225.29,55000,0,瀹ｅ寲鍖?
361,3000,77.88,53004,1,涓嬭姳鍥尯
362,25000,654.31,60000,1,涓囧叏鍖?
363,25000,869.95,82000,0,宕囩ぜ鍖?
364,10000,351.38,53000,0,寮犲寳鍘?
365,8875,297.72,35360,1,搴蜂繚鍘?
366,15550,514.34,54000,0,娌芥簮鍘?
367,17000,406.85,65000,0,灏氫箟鍘?
368,7500,251.59,65000,0,钄氬幙
369,8875,281.81,28800,0,闃冲師鍘?
370,4500,161.05,42000,0,鎬€瀹夊幙
371,5800,193.81,36000,0,鎬€鏉ュ幙
372,10000,330.76,40000,0,娑块箍鍘?
373,10000,322.25,50000,0,璧ゅ煄鍘?
374,14000,463.07,52000,0,瀹氬叴鍘?
375,25000,648.93,85000,0,鍞愬幙
376,12000,381.04,32000,1,楂橀槼鍘?
377,24000,750.97,75000,0,瀹瑰煄鍘?
378,14000,480.33,80000,0,娑炴簮鍘?
379,12000,381.04,40246,0,鏈涢兘鍘?
380,15000,338.93,30000,1,瀹夋柊鍘?
381,8050,270.04,36000,1,鏄撳幙
382,5600,182.42,60000,0,鏇查槼鍘?
383,7500,241.69,31200,0,锠″幙
384,7000,231.54,90000,0,椤哄钩鍘?
385,5400,168.97,40000,0,鍗氶噹鍘?
386,16000,534.65,90000,0,闆勫幙
387,35000,619.26,105000,0,娑垮窞甯?
388,6000,121.38,30084,1,瀹氬窞甯?
389,4125,93.21,36000,0,瀹夊浗甯?
390,9800,345.95,67000,0,楂樼搴楀競
391,15700,400.82,63000,0,寮犲鍙ｅ競
392,5000,153.52,276000,0,妗ヤ笢鍖?
393,9900,327.46,26400,0,妗ヨタ鍖?
394,4000,132.31,24000,0,瀹ｅ寲鍖?
395,15000,496.14,68400,0,涓嬭姳鍥尯
396,6250,219.61,29120,0,涓囧叏鍖?
397,6400,225.93,29120,0,宕囩ぜ鍖?
398,8850,203.6,89122,0,寮犲寳鍘?
399,12000,417.58,54000,0,搴蜂繚鍘?
400,15000,476.3,30000,0,娌芥簮鍘?
401,6500,223.01,30000,0,灏氫箟鍘?
402,8000,281.1,50000,0,钄氬幙
403,30000,539.47,92000,0,闃冲師鍘?
404,15000,517.42,100500,0,鎬€瀹夊幙
405,10200,349.96,40000,0,鎬€鏉ュ幙
406,9000,300.74,47000,0,娑块箍鍘?
407,6500,229.46,68000,0,璧ゅ煄鍘?
408,23000,625.86,95000,0,瀹氬叴鍘?
409,2000,62.59,39600,0,鍞愬幙
410,8000,271.45,30000,0,楂橀槼鍘?
411,8875,276.11,30000,0,瀹瑰煄鍘?
412,1500,54.72,17000,1,娑炴簮鍘?
413,8000,267.33,42000,0,鏈涢兘鍘?
414,20000,399.55,75000,1,瀹夋柊鍘?
415,6500,215,42000,0,鏄撳幙
416,9600,325.74,27000,0,鏇查槼鍘?
417,25975,372.25,130000,0,锠″幙
418,10000,312.91,46000,0,椤哄钩鍘?
419,15000,501.23,80000,0,鍗氶噹鍘?
420,9000,276.34,45000,0,闆勫幙
421,10000,312.91,72500,0,娑垮窞甯?
422,1000,34.5,18408,1,瀹氬窞甯?
423,14000,438.07,30000,0,瀹夊浗甯?
424,8500,291.63,50000,1,楂樼搴楀競
425,15000,389.36,75000,0,寮犲鍙ｅ競
426,4500,158.12,65000,0,妗ヤ笢鍖?
427,3000,93.34,65000,0,妗ヨタ鍖?
428,10000,322.25,120000,0,瀹ｅ寲鍖?
429,21250,525.5,42500,0,涓嬭姳鍥尯
430,33425,475.63,75000,1,涓囧叏鍖?
431,35000,916.03,195000,0,宕囩ぜ鍖?
432,7200,250.55,54990,0,寮犲寳鍘?
433,18000,397.77,40000,1,搴蜂繚鍘?
434,23000,719.68,137000,0,娌芥簮鍘?
435,20000,494.59,60000,1,灏氫箟鍘?
436,6000,151,30120,0,钄氬幙
437,7000,222.28,46000,0,闃冲師鍘?
438,21000,704.45,135000,0,鎬€瀹夊幙
439,8250,256.67,31500,0,鎬€鏉ュ幙
440,13000,418.93,65000,0,娑块箍鍘?
441,18000,552.67,78000,0,璧ゅ煄鍘?
442,7200,219.14,60000,0,瀹氬叴鍘?
443,16500,523.93,48000,0,鍞愬幙
444,8125,254.24,25000,0,楂橀槼鍘?
445,18800,584.89,82000,0,瀹瑰煄鍘?
446,26800,982.79,82000,0,娑炴簮鍘?
447,19200,600.78,42000,0,鏈涢兘鍘?
448,12875,213.28,27600,0,瀹夋柊鍘?
449,4000,133.67,38000,0,鏄撳幙
450,4000,141.21,35000,0,鏇查槼鍘?
451,12000,386.7,33000,0,锠″幙
452,2625,86.83,52800,0,椤哄钩鍘?
453,18000,414.09,40900,0,鍗氶噹鍘?
454,7000,225.58,73882,0,闆勫幙
455,11300,379.06,36000,0,娑垮窞甯?
456,4000,128.9,130000,0,瀹氬窞甯?
457,8000,243.49,57200,0,瀹夊浗甯?
458,14400,522.41,51871,1,楂樼搴楀競
459,4375,146.2,15000,0,寮犲鍙ｅ競
460,4100,127.56,70197,0,妗ヤ笢鍖?
461,6000,190.52,47000,0,妗ヨタ鍖?
462,4200,105,43000,1,瀹ｅ寲鍖?
463,4000,122.82,120000,0,涓嬭姳鍥尯
464,3000,97.72,86004,1,涓囧叏鍖?
465,5400,181.15,75000,0,宕囩ぜ鍖?
466,15000,529.51,110000,1,寮犲寳鍘?
467,20000,514.86,80000,0,搴蜂繚鍘?
468,10400,348.87,44000,0,娌芥簮鍘?
469,4500,113.25,51600,0,灏氫箟鍘?
470,11500,384.28,38500,0,钄氬幙
471,10000,307.04,75000,0,闃冲師鍘?
472,18225,309.42,37320,0,鎬€瀹夊幙
473,3600,114.32,55000,0,鎬€鏉ュ幙
474,18500,292.81,100000,0,娑块箍鍘?
475,16800,428.9,70000,0,璧ゅ煄鍘?
476,10000,357.88,68000,1,瀹氬叴鍘?
477,15000,544.17,66000,0,鍞愬幙
478,8000,264.61,85000,0,楂橀槼鍘?
479,25000,443.89,83004,0,瀹瑰煄鍘?
480,16000,500.65,51000,1,娑炴簮鍘?
481,8000,260.59,55000,0,鏈涢兘鍘?
482,7200,224,47000,0,瀹夋柊鍘?
483,12000,373.33,86000,0,鏄撳幙
484,2200,76.56,48000,1,鏇查槼鍘?
485,20000,451.9,49000,0,锠″幙
486,28000,628.81,85000,0,椤哄钩鍘?
487,6000,186.67,50000,0,鍗氶噹鍘?
488,25000,654.31,105000,1,闆勫幙
489,8000,165.68,51204,1,娑垮窞甯?
490,14400,501.09,42996,0,瀹氬窞甯?
491,20000,355.62,60000,0,瀹夊浗甯?
492,25000,467,85000,0,楂樼搴楀競
493,14050,446.14,120000,0,寮犲鍙ｅ競
494,6000,203.59,62691,0,妗ヤ笢鍖?
495,16100,355.79,36000,0,妗ヨタ鍖?
496,35000,619.88,85000,1,瀹ｅ寲鍖?
497,10525,329.33,49668,0,涓嬭姳鍥尯
498,7200,252.99,30000,0,涓囧叏鍖?
499,18500,340.24,40000,0,宕囩ぜ鍖?
500,12000,407.17,40000,0,寮犲寳鍘?
501,12000,396.92,100000,0,搴蜂繚鍘?
502,3000,99.23,56312,0,娌芥簮鍘?
503,9500,335.36,54011,0,灏氫箟鍘?
504,19775,660.79,49110.32,0,钄氬幙
505,12000,283.28,75000,1,闃冲師鍘?
506,28000,655.44,95000,0,鎬€瀹夊幙
507,30000,1002.46,80000,0,鎬€鏉ュ幙
508,16000,521.18,55000,0,娑块箍鍘?
509,14500,500.17,90000,0,璧ゅ煄鍘?
510,11700,276.2,68500,0,瀹氬叴鍘?
511,4150,135.18,100000,0,鍞愬幙
512,15000,331.48,72000,0,楂橀槼鍘?
513,24000,852.93,70000,0,瀹瑰煄鍘?
514,21250,710.08,37000,1,娑炴簮鍘?
515,10000,343.09,75000,0,鏈涢兘鍘?
516,25000,638.25,75000,0,瀹夋柊鍘?
517,4000,140.55,39000,0,鏄撳幙
518,15000,496.14,60000,0,鏇查槼鍘?
519,20000,460.1,68000,0,锠″幙
520,15000,377.49,110000,0,椤哄钩鍘?
521,3600,126.5,40000,0,鍗氶噹鍘?
522,6000,155.75,31000,0,闆勫幙
523,15000,521.97,60000,1,娑垮窞甯?
524,12000,306.36,43000,0,瀹氬窞甯?
525,12375,385,42000,0,瀹夊浗甯?
526,4000,134.18,30000,1,楂樼搴楀競
527,13000,423.46,50000,0,寮犲鍙ｅ競
528,5000,153.52,39396,0,妗ヤ笢鍖?
529,5000,175.69,98000,0,妗ヨタ鍖?
530,26000,859.98,62500,0,瀹ｅ寲鍖?
531,15000,386.15,95000,0,涓嬭姳鍥尯
532,4000,105.78,45000,1,涓囧叏鍖?
533,8000,250.33,32400,0,宕囩ぜ鍖?
534,1700,53.2,37800,1,寮犲寳鍘?
535,16000,515.6,50000,0,搴蜂繚鍘?
536,20000,424.06,114996,0,娌芥簮鍘?
537,12000,413.94,54400,1,灏氫箟鍘?
538,7000,231.54,72800,0,钄氬幙
539,8000,213.29,42500,1,闃冲師鍘?
540,13000,370.38,61000,0,鎬€瀹夊幙
541,13000,458.91,28000,1,鎬€鏉ュ幙
542,20000,544.23,120000,0,娑块箍鍘?
543,18000,610.75,96000,0,璧ゅ煄鍘?
544,10000,353.01,83200,0,瀹氬叴鍘?
545,22250,532.49,45000,0,鍞愬幙
546,24000,603.98,68809,1,楂橀槼鍘?
547,11200,374.26,75000,1,瀹瑰煄鍘?
548,7000,228.02,52000,0,娑炴簮鍘?
549,8000,243.49,57600,0,鏈涢兘鍘?
550,22500,556.41,48500,0,瀹夋柊鍘?
551,12000,429.45,95000,0,鏄撳幙
552,22000,758.88,58000,0,鏇查槼鍘?
553,6200,201.96,24000,0,锠″幙
554,15900,512.38,58000,0,椤哄钩鍘?
555,5000,158.77,70000,0,鍗氶噹鍘?
556,16000,491.26,104000,0,闆勫幙
557,5000,165.38,35000,0,娑垮窞甯?
