,loan_amnt,installment,annual_inc,result,type
148,6000,195.44,87000,0,红桥区
149,8450,208.97,25000,0,东丽区
150,20000,460.1,82000,0,西青区
151,10000,330.76,60000,1,津南区
152,12000,423.61,80000,0,北辰区
153,13475,309.99,25000,1,武清区
154,7200,240.59,48000,0,宝坻区
155,5600,193.17,85000,1,滨海新区
156,12000,411.71,57000,0,宁河区
157,8500,258.71,25000,0,静海区
158,8000,257.8,34000,0,蓟州区
159,8000,267.33,40000,0,河北省
160,16000,382.92,42656.4,0,石家庄市
161,15000,536.81,44400,0,长安区
162,10000,322.25,30000,0,河北省
163,10000,307.04,70000,0,石家庄市
164,8000,275.96,28000,0,长安区
165,22000,708.95,50000,0,西青区
166,6000,205.86,94800,0,津南区
167,16000,339.25,40000,0,北辰区
168,2500,77.78,12000,1,武清区
169,13500,435.04,36000,0,宝坻区
170,25000,835.39,225000,0,滨海新区
171,10000,339.31,45900,0,宁河区
172,2500,84.83,27200,0,静海区
173,7325,245.72,42000,0,蓟州区
174,4000,133.67,135000,0,河北省
175,10000,339.31,65000,1,石家庄市
176,7750,277.36,24000,1,长安区
177,20000,539.84,70000,1,南开区
178,9600,320.79,65000,0,河北区
179,21000,464.07,60000,1,红桥区
180,14000,456.03,30000,0,东丽区
181,13350,446.1,43000,0,西青区
182,15000,533.08,42000,1,津南区
183,15000,536.81,75000,1,北辰区
184,11000,253.06,129000,0,武清区
185,35000,1140.07,168000,0,宝坻区
186,9000,293.16,74000,0,滨海新区
187,22475,537.87,52000,0,宁河区
188,16000,536.72,58500,1,静海区
189,13500,452.86,71000,0,蓟州区
190,24000,805.08,75000,0,河北省
191,12000,390.88,60000,0,石家庄市
192,8400,207.73,87996,0,长安区
193,28000,704.64,140000,0,桥西区
194,14000,429.86,66000,0,新华区
195,12000,411.71,70000,1,井陉矿区
196,25000,826.9,100000,0,裕华区
197,9000,301.91,50000,0,藁城区
198,13250,431.6,35000,0,鹿泉区
199,20000,678.61,75000,0,栾城区
200,3000,103.49,71000,0,井陉县
201,7350,239.42,48000,0,正定县
202,11500,400.18,36000,0,行唐县
203,13650,456.12,86000,1,灵寿县
204,10500,370.66,30000,1,高邑县
205,12000,386.7,60000,0,深泽县
206,6000,190.52,34000,0,赞皇县
207,11500,400.18,44200,0,无极县
208,7000,233.91,82000,0,平山县
209,29500,786.51,83000,0,元氏县
210,2000,69.6,41000,0,赵县
211,11625,394.45,36000,0,辛集市
212,15075,517.21,35000,1,晋州市
213,5300,184.43,30000,0,新乐市
214,8200,251.77,40000,0,唐山市
215,12000,400.99,105000,0,路南区
216,8650,296.78,45000,0,路北区
217,21000,294.98,109000,0,古冶区
218,16000,399.97,50000,0,开平区
219,12000,400.99,83000,0,丰南区
220,9500,318.68,52500,1,丰润区
221,7400,251.09,25000,0,曹妃甸区
222,14400,488.6,60000,0,滦南县
223,24250,519.76,120000,0,怀柔区
224,7200,225.29,68000,1,平谷区
225,26000,642.96,53000,1,密云区
226,7000,154.69,69600,1,延庆区
227,4000,124.45,65000,0,天津市
228,1500,53.69,144000,0,天津市市辖区
229,19600,654.94,75000,0,和平区
230,2500,82.69,29000,0,河东区
231,10000,335.45,70000,1,河西区
232,10000,307.04,45000,0,南开区
233,4225,141.18,55200,0,河北区
234,3500,109.52,61440,0,红桥区
235,12000,368.45,56000,0,东丽区
236,16500,523.93,47000,0,西青区
237,22000,603.5,55000,0,津南区
238,12000,413.94,71000,0,北辰区
239,15600,352.48,50000,1,武清区
240,10800,360.89,135000,0,宝坻区
241,14000,467.82,63000,0,滨海新区
242,18825,473.75,44000,0,宁河区
243,6000,203.59,50000,0,静海区
244,12000,386.7,80000,0,蓟州区
245,10000,334.16,45000,0,河北省
246,8000,250.33,78000,0,石家庄市
247,14125,455.18,33000,0,长安区
248,14000,469.63,62800,0,桥西区
249,13200,224.36,26400,0,新华区
250,4000,146.69,80000,0,井陉矿区
251,4000,134.18,25000,1,裕华区
252,10500,319.58,65000,0,藁城区
253,5500,172.1,59000,0,鹿泉区
254,7350,243.11,33000,0,栾城区
255,10000,334.16,39000,1,井陉县
256,12000,373.33,42000,0,正定县
257,5000,110.5,38004,0,行唐县
258,8000,176.79,31000,0,灵寿县
259,4500,142.89,50700,0,高邑县
260,18000,601.48,75000,0,深泽县
261,12300,282.96,30000,0,赞皇县
262,12000,407.17,40000,0,无极县
263,10000,339.31,50000,0,平山县
264,6000,187.75,80000,0,元氏县
265,12000,402.54,40000,0,赵县
266,12000,381.04,80000,1,辛集市
267,7000,231.54,75000,0,晋州市
268,35000,690.56,85000,0,新乐市
269,1400,43.81,28800,0,唐山市
270,16000,368.08,35000,1,路南区
271,3200,103.12,61200,0,路北区
272,8000,250.33,40000,0,古冶区
273,11875,268.32,25920,1,开平区
274,5000,152.18,54000,0,丰南区
275,1800,55.27,18000,0,丰润区
276,35000,1111.37,85000,0,曹妃甸区
277,18000,571.56,78000,0,滦南县
278,14000,438.07,45600,1,怀柔区
279,5000,167.08,70000,0,平谷区
280,8000,281.1,70000,0,密云区
281,10000,304.36,80000,0,延庆区
282,10000,311.11,50000,0,天津市
283,12000,400.99,35000,0,天津市市辖区
284,23200,725.94,65000,0,和平区
285,18000,430.78,84000,0,河东区
286,4800,167.03,75000,0,河西区
287,7300,241.46,35000,0,南开区
288,10400,335.14,40000,0,河北区
289,6600,212.69,100000,0,红桥区
290,12000,381.04,40000,0,东丽区
291,13250,474.19,52000,0,西青区
292,12000,396.92,92500,0,津南区
293,25000,805.63,61000,0,北辰区
294,6000,195.44,36000,0,武清区
295,12000,373.33,68000,0,宝坻区
296,14400,476.3,80000,0,滨海新区
297,10000,334.16,43000,0,宁河区
298,8000,264.61,150000,0,静海区
299,8000,282.41,50000,1,蓟州区
300,30000,673.72,70000,1,河北省
301,18000,445.13,40000,1,石家庄市
302,13250,438.26,35000,0,长安区
303,14000,480.33,80000,0,桥西区
304,20000,533.23,59000,1,新华区
305,10000,353.01,40000,0,井陉矿区
306,35000,619.88,85000,0,裕华区
307,4000,121.75,55000,0,藁城区
308,13000,418.93,110000,0,鹿泉区
309,28000,939.26,100000,0,栾城区
310,10000,339.31,62000,0,井陉县
311,20000,625.81,45000,0,正定县
312,18000,580.05,110000,0,行唐县
313,9000,238,60000,1,灵寿县
314,25000,643.58,61500,1,高邑县
315,10000,330.76,33000,0,深泽县
316,4200,127.83,61000,0,赞皇县
317,20000,478.64,78216,1,无极县
318,18000,449.97,62000,1,平山县
319,24000,847.21,50964,0,元氏县
320,4475,155.72,43680,0,赵县
321,20000,472.14,56000,0,辛集市
322,12000,400.99,50700,0,晋州市
323,18000,452.98,60000,0,新乐市
324,5000,167.08,30000,1,唐山市
325,3000,91.31,50000,0,路南区
326,25000,648.93,75000,0,路北区
327,18000,467.23,90000,0,古冶区
328,12000,386.7,55000,1,开平区
329,20000,695.96,50000,0,丰南区
330,10000,339.31,84000,0,丰润区
331,15000,501.23,155000,0,曹妃甸区
332,12000,375.49,62000,0,滦南县
333,20000,290.64,175000,0,怀柔区
334,6300,208.38,30000,0,平谷区
335,20000,494.59,50000,0,密云区
336,35000,578.71,208000,0,延庆区
337,8250,200.45,35004,0,天津市
338,20000,451.9,85000,0,天津市市辖区
339,10000,330.76,32000,1,和平区
340,24000,762.08,116400,1,河东区
341,14400,483.05,40000,0,河西区
342,6000,206.97,34000,0,南开区
343,22000,773.03,73000,0,河北区
344,12000,396.92,57200,1,红桥区
345,16000,568.62,114000,0,东丽区
346,10000,325.74,90000,0,西青区
347,16000,301.76,54000,0,津南区
348,10000,335.45,35000,1,北辰区
349,3500,118.76,56000,0,武清区
350,9600,309.36,35000,0,宝坻区
351,9875,309,40000,0,滨海新区
352,21500,427.19,59000,0,宁河区
353,4800,150.2,48000,0,静海区
354,7800,237.4,85000,0,蓟州区
355,20000,686.18,70000,0,河北省
356,9750,303.34,35000,1,石家庄市
357,18000,365.67,91000,0,长安区
358,5000,152.18,30000,0,桥西区
359,9000,310.45,45000,0,新华区
360,7200,225.29,55000,0,井陉矿区
361,3000,77.88,53004,1,裕华区
362,25000,654.31,60000,1,藁城区
363,25000,869.95,82000,0,鹿泉区
364,10000,351.38,53000,0,栾城区
365,8875,297.72,35360,1,井陉县
366,15550,514.34,54000,0,正定县
367,17000,406.85,65000,0,行唐县
368,7500,251.59,65000,0,灵寿县
369,8875,281.81,28800,0,高邑县
370,4500,161.05,42000,0,深泽县
371,5800,193.81,36000,0,赞皇县
372,10000,330.76,40000,0,无极县
373,10000,322.25,50000,0,平山县
374,14000,463.07,52000,0,元氏县
375,25000,648.93,85000,0,赵县
376,12000,381.04,32000,1,辛集市
377,24000,750.97,75000,0,晋州市
378,14000,480.33,80000,0,新乐市
379,12000,381.04,40246,0,唐山市
380,15000,338.93,30000,1,路南区
381,8050,270.04,36000,1,路北区
382,5600,182.42,60000,0,古冶区
383,7500,241.69,31200,0,开平区
384,7000,231.54,90000,0,丰南区
385,5400,168.97,40000,0,丰润区
386,16000,534.65,90000,0,曹妃甸区
387,35000,619.26,105000,0,滦南县
388,6000,121.38,30084,1,怀柔区
389,4125,93.21,36000,0,平谷区
390,9800,345.95,67000,0,密云区
391,15700,400.82,63000,0,延庆区
392,5000,153.52,276000,0,天津市
393,9900,327.46,26400,0,天津市市辖区
394,4000,132.31,24000,0,和平区
395,15000,496.14,68400,0,河东区
396,6250,219.61,29120,0,河西区
397,6400,225.93,29120,0,南开区
398,8850,203.6,89122,0,河北区
399,12000,417.58,54000,0,红桥区
400,15000,476.3,30000,0,东丽区
401,6500,223.01,30000,0,西青区
402,8000,281.1,50000,0,津南区
403,30000,539.47,92000,0,北辰区
404,15000,517.42,100500,0,武清区
405,10200,349.96,40000,0,宝坻区
406,9000,300.74,47000,0,滨海新区
407,6500,229.46,68000,0,宁河区
408,23000,625.86,95000,0,静海区
409,2000,62.59,39600,0,蓟州区
410,8000,271.45,30000,0,河北省
411,8875,276.11,30000,0,石家庄市
412,1500,54.72,17000,1,长安区
413,8000,267.33,42000,0,桥西区
414,20000,399.55,75000,1,新华区
415,6500,215,42000,0,井陉矿区
416,9600,325.74,27000,0,裕华区
417,25975,372.25,130000,0,藁城区
418,10000,312.91,46000,0,鹿泉区
419,15000,501.23,80000,0,栾城区
420,9000,276.34,45000,0,井陉县
421,10000,312.91,72500,0,正定县
422,1000,34.5,18408,1,行唐县
423,14000,438.07,30000,0,灵寿县
424,8500,291.63,50000,1,高邑县
425,15000,389.36,75000,0,深泽县
426,4500,158.12,65000,0,赞皇县
427,3000,93.34,65000,0,无极县
428,10000,322.25,120000,0,平山县
429,21250,525.5,42500,0,元氏县
430,33425,475.63,75000,1,赵县
431,35000,916.03,195000,0,辛集市
432,7200,250.55,54990,0,晋州市
433,18000,397.77,40000,1,新乐市
434,23000,719.68,137000,0,唐山市
435,20000,494.59,60000,1,路南区
436,6000,151,30120,0,路北区
437,7000,222.28,46000,0,古冶区
438,21000,704.45,135000,0,开平区
439,8250,256.67,31500,0,丰南区
440,13000,418.93,65000,0,丰润区
441,18000,552.67,78000,0,曹妃甸区
442,7200,219.14,60000,0,滦南县
443,16500,523.93,48000,0,怀柔区
444,8125,254.24,25000,0,平谷区
445,18800,584.89,82000,0,密云区
446,26800,982.79,82000,0,延庆区
447,19200,600.78,42000,0,天津市
448,12875,213.28,27600,0,天津市市辖区
449,4000,133.67,38000,0,和平区
450,4000,141.21,35000,0,河东区
451,12000,386.7,33000,0,河西区
452,2625,86.83,52800,0,南开区
453,18000,414.09,40900,0,河北区
454,7000,225.58,73882,0,红桥区
455,11300,379.06,36000,0,东丽区
456,4000,128.9,130000,0,西青区
457,8000,243.49,57200,0,津南区
458,14400,522.41,51871,1,北辰区
459,4375,146.2,15000,0,武清区
460,4100,127.56,70197,0,宝坻区
461,6000,190.52,47000,0,滨海新区
462,4200,105,43000,1,宁河区
463,4000,122.82,120000,0,静海区
464,3000,97.72,86004,1,蓟州区
465,5400,181.15,75000,0,河北省
466,15000,529.51,110000,1,石家庄市
467,20000,514.86,80000,0,长安区
468,10400,348.87,44000,0,桥西区
469,4500,113.25,51600,0,新华区
470,11500,384.28,38500,0,井陉矿区
471,10000,307.04,75000,0,裕华区
472,18225,309.42,37320,0,藁城区
473,3600,114.32,55000,0,鹿泉区
474,18500,292.81,100000,0,栾城区
475,16800,428.9,70000,0,井陉县
476,10000,357.88,68000,1,正定县
477,15000,544.17,66000,0,行唐县
478,8000,264.61,85000,0,灵寿县
479,25000,443.89,83004,0,高邑县
480,16000,500.65,51000,1,深泽县
481,8000,260.59,55000,0,赞皇县
482,7200,224,47000,0,无极县
483,12000,373.33,86000,0,平山县
484,2200,76.56,48000,1,元氏县
485,20000,451.9,49000,0,赵县
486,28000,628.81,85000,0,辛集市
487,6000,186.67,50000,0,晋州市
488,25000,654.31,105000,1,新乐市
489,8000,165.68,51204,1,唐山市
490,14400,501.09,42996,0,路南区
491,20000,355.62,60000,0,路北区
492,25000,467,85000,0,古冶区
493,14050,446.14,120000,0,开平区
494,6000,203.59,62691,0,丰南区
495,16100,355.79,36000,0,丰润区
496,35000,619.88,85000,1,曹妃甸区
497,10525,329.33,49668,0,滦南县
498,7200,252.99,30000,0,怀柔区
499,18500,340.24,40000,0,平谷区
500,12000,407.17,40000,0,密云区
501,12000,396.92,100000,0,延庆区
502,3000,99.23,56312,0,天津市
503,9500,335.36,54011,0,天津市市辖区
504,19775,660.79,49110.32,0,和平区
505,12000,283.28,75000,1,河东区
506,28000,655.44,95000,0,河西区
507,30000,1002.46,80000,0,南开区
508,16000,521.18,55000,0,河北区
509,14500,500.17,90000,0,红桥区
510,11700,276.2,68500,0,东丽区
511,4150,135.18,100000,0,西青区
512,15000,331.48,72000,0,津南区
513,24000,852.93,70000,0,北辰区
514,21250,710.08,37000,1,武清区
515,10000,343.09,75000,0,宝坻区
516,25000,638.25,75000,0,滨海新区
517,4000,140.55,39000,0,宁河区
518,15000,496.14,60000,0,静海区
519,20000,460.1,68000,0,蓟州区
520,15000,377.49,110000,0,河北省
521,3600,126.5,40000,0,石家庄市
522,6000,155.75,31000,0,长安区
523,15000,521.97,60000,1,桥西区
524,12000,306.36,43000,0,新华区
525,12375,385,42000,0,井陉矿区
526,4000,134.18,30000,1,裕华区
527,13000,423.46,50000,0,藁城区
528,5000,153.52,39396,0,鹿泉区
529,5000,175.69,98000,0,栾城区
530,26000,859.98,62500,0,井陉县
531,15000,386.15,95000,0,正定县
532,4000,105.78,45000,1,行唐县
533,8000,250.33,32400,0,灵寿县
534,1700,53.2,37800,1,高邑县
535,16000,515.6,50000,0,深泽县
536,20000,424.06,114996,0,赞皇县
537,12000,413.94,54400,1,无极县
538,7000,231.54,72800,0,平山县
539,8000,213.29,42500,1,元氏县
540,13000,370.38,61000,0,赵县
541,13000,458.91,28000,1,辛集市
542,20000,544.23,120000,0,晋州市
543,18000,610.75,96000,0,新乐市
544,10000,353.01,83200,0,唐山市
545,22250,532.49,45000,0,路南区
546,24000,603.98,68809,1,路北区
547,11200,374.26,75000,1,古冶区
548,7000,228.02,52000,0,开平区
549,8000,243.49,57600,0,丰南区
550,22500,556.41,48500,0,丰润区
551,12000,429.45,95000,0,曹妃甸区
552,22000,758.88,58000,0,滦南县
553,6200,201.96,24000,0,怀柔区
554,15900,512.38,58000,0,平谷区
555,5000,158.77,70000,0,密云区
556,16000,491.26,104000,0,延庆区
557,5000,165.38,35000,0,天津市
558,3150,109.62,53000,0,天津市市辖区
559,12000,411.71,28000,1,和平区
560,28000,876.13,118000,1,河东区
561,5000,167.08,40000,0,河西区
562,3000,96.68,42000,0,南开区
563,3000,93.88,65000,1,河北区
564,8400,257.92,25000,0,红桥区
565,7000,228.02,36000,0,东丽区
566,18550,303.6,45000,0,西青区
567,2000,64.45,231252,0,津南区
568,12000,226.63,65000,0,北辰区
569,8575,308.21,32000,1,武清区
570,28000,418.27,84996,1,宝坻区
571,10000,312.91,66000,0,滨海新区
572,25000,921.72,92000,0,宁河区
573,8000,264.61,70000,0,静海区
574,16000,408.48,49000,1,蓟州区
575,25000,826.9,76896,0,河北省
576,2000,64.45,24000,0,石家庄市
577,16800,579.51,60000,0,长安区
578,8000,254.03,120000,0,桥西区
579,12000,271.14,57000,0,新华区
580,11000,344.2,80000,1,井陉矿区
581,5000,176.51,85000,1,裕华区
582,18000,635.41,140000,0,藁城区
583,10000,335.45,36000,1,鹿泉区
584,5000,161.13,70000,0,栾城区
585,10000,353.01,51360,0,井陉县
586,25000,805.63,163000,0,正定县
587,2400,80.51,59393,0,行唐县
588,3000,105.91,65000,1,灵寿县
589,7700,273.65,29772.96,1,高邑县
590,2400,81.44,12996,0,深泽县
591,18500,309.54,68000,0,赞皇县
592,5000,162.87,44475,0,无极县
593,14000,503.19,88000,0,平山县
594,24500,661.3,85000,1,元氏县
595,2400,78.18,36000,0,赵县
596,1800,60.15,117000,0,辛集市
597,22200,818.49,160000,1,晋州市
598,21400,560.09,80000,0,新乐市
599,13000,406.78,28000,1,唐山市
600,8000,268.36,48000,0,路南区
601,3600,120.77,60000,1,路北区
602,12375,349.79,40000,1,古冶区
603,9400,302.92,45500,0,开平区
604,9600,329.37,156000,0,丰南区
605,17000,553.75,40000,0,丰润区
606,25000,448.41,96000,0,曹妃甸区
607,16950,419.16,50000,0,滦南县
608,30000,500.33,80000,0,怀柔区
609,10800,370.54,110000,0,平谷区
610,6000,187.75,59400,0,密云区
611,35000,1111.37,106000,0,延庆区
612,10000,325.74,36000,0,天津市
613,15000,396.66,51000,0,天津市市辖区
614,5000,167.73,25000,0,和平区
615,3000,75,35000,0,河东区
616,7100,244.91,33000,1,河西区
617,12000,426.47,93000,0,南开区
618,22400,628.13,85000,1,河北区
619,5825,189.74,50000,0,红桥区
620,22250,746.38,41000,1,东丽区
621,18000,445.13,50000,0,西青区
622,6000,200.5,30000,0,津南区
623,7650,253.04,57000,1,北辰区
624,21000,536.13,110000,0,武清区
625,20675,494.8,50132,1,宝坻区
626,13200,413.04,62500,0,滨海新区
627,12000,373.33,60000,0,宁河区
628,20000,324.47,130000,0,静海区
629,15000,456.54,60000,0,蓟州区
630,27050,696.35,65000,0,河北省
631,22500,562.46,67735,0,石家庄市
632,20500,463.2,47800,1,长安区
633,12800,427.72,99600,0,桥西区
634,27575,898.21,54000,0,新华区
635,7000,234.82,49000,0,井陉矿区
636,7600,187.95,33996,0,裕华区
637,29000,651.27,65000,1,藁城区
638,10000,343.09,44160,0,鹿泉区
639,14125,441.98,32000,0,栾城区
640,12000,368.45,94500,0,井陉县
641,9575,293.99,19498,0,正定县
642,12000,237.29,30000,0,行唐县
643,12000,421.65,88000,1,灵寿县
644,10000,335.45,45000,0,高邑县
645,10000,351.38,37500,0,深泽县
646,25000,585.22,89000,0,赞皇县
647,24000,773.4,120000,0,无极县
648,14575,474.76,35000,0,平山县
649,9000,280,50000,0,元氏县
650,10000,339.31,30000,1,赵县
651,7125,256.09,25279.67,0,辛集市
652,15000,323.53,29000,0,晋州市
653,13000,441.1,65000,0,新乐市
654,12000,271.14,30000,0,唐山市
655,18000,479.9,68000,0,路南区
656,30000,702.26,90000,0,路北区
657,21600,773.01,58600,1,古冶区
658,7600,187.95,50000,0,开平区
659,7000,233.91,85000,0,丰南区
660,7000,222.28,45000,0,丰润区
661,3600,128.84,44004,0,曹妃甸区
662,3500,117.41,84996,0,滦南县
663,5000,158.77,33000,0,怀柔区
664,10000,330.76,60000,0,平谷区
665,4500,152.69,19200,0,密云区
666,12000,396.92,62000,0,延庆区
667,12000,311.49,38500,0,天津市
668,10700,357.55,68000,0,天津市市辖区
669,6000,195.44,30000,0,和平区
670,20000,625.81,50000,0,河东区
671,10800,267.08,23000,0,河西区
672,25000,416.62,50400,0,南开区
673,20000,468.17,110000,0,河北区
674,3600,122.15,40000,0,红桥区
675,6000,190.52,83954,0,东丽区
676,10375,355.96,35000,0,西青区
677,25000,793.84,60000,0,津南区
678,10000,353.01,40000,0,北辰区
679,10000,194.26,42336,0,武清区
680,5600,170.44,41100,0,宝坻区
681,6000,200.5,92000,0,滨海新区
682,8000,250.33,75000,0,宁河区
683,35000,489.57,90000,0,静海区
684,10000,330.76,45000,0,蓟州区
685,11000,342.22,48000,0,河北省
686,5000,161.13,110000,0,石家庄市
687,6500,211.73,30600,0,长安区
688,20000,533.23,69000,0,桥西区
689,12000,402.54,45000,0,新华区
690,8250,218.17,27500,1,井陉矿区
691,21000,657.1,150500,0,裕华区
692,8400,298.53,32000,0,藁城区
693,7000,234.82,37500,0,鹿泉区
694,12000,400.99,60000,1,栾城区
695,7200,238.15,33000,1,井陉县
696,12000,390.88,70000,0,正定县
697,12800,299.63,75000,0,行唐县
698,3050,98.29,16800,0,灵寿县
699,9000,310.45,38000,0,高邑县
700,10000,330.76,35000,1,深泽县
701,10000,322.25,95000,0,赞皇县
702,10000,343.09,77400,1,无极县
703,8500,300.06,61000,0,平山县
704,35000,470.14,70000,0,元氏县
705,7200,165.64,67000,0,赵县
706,21000,491.58,90000,0,辛集市
707,27000,870.08,140000,0,晋州市
708,28625,763.18,55000,0,新乐市
709,4000,137.24,32400,0,唐山市
710,7300,241.46,50000,0,路南区
711,18000,571.56,70000,0,路北区
712,5000,165.38,35000,0,古冶区
713,6500,152.16,46212,0,开平区
714,14100,354.84,43000,0,丰南区
715,35000,572.36,140000,0,丰润区
716,10000,343.09,115000,0,曹妃甸区
717,3000,93.88,45000,0,滦南县
718,25000,397.8,95000,0,怀柔区
719,28000,983.85,235000,0,平谷区
720,10000,344.95,36000,0,密云区
721,12000,375.49,26000,0,延庆区
722,10000,357.88,80000,0,天津市
723,11000,349.29,50000,0,天津市市辖区
724,10000,347.98,55000,0,和平区
725,5000,153.52,55000,0,河东区
726,5000,152.18,64424,0,河西区
727,5000,158.77,56000,0,南开区
728,6000,205.86,30000,1,河北区
729,5000,171.55,111740,0,红桥区
730,20050,720.64,67500,0,东丽区
731,7000,248.77,41000,1,西青区
732,25000,814.34,120000,0,津南区
733,3000,100.64,30000,1,北辰区
734,8400,300.62,41500,0,武清区
735,24925,715.75,60000,0,宝坻区
736,5000,161.13,75000,0,滨海新区
737,12000,280.91,80000,0,宁河区
738,12000,400.99,42000,0,静海区
739,13200,436.61,41600,1,蓟州区
