,loan_amnt,installment,annual_inc,result
153,13475.0,309.99,25000.0,1
154,7200.0,240.59,48000.0,0
155,5600.0,193.17,85000.0,1
156,12000.0,411.71,57000.0,0
157,8500.0,258.71,25000.0,0
158,8000.0,257.8,34000.0,0
159,8000.0,267.33,40000.0,0
160,16000.0,382.92,42656.4,0
161,15000.0,536.81,44400.0,0
162,10000.0,322.25,30000.0,0
163,10000.0,307.04,70000.0,0
164,8000.0,275.96,28000.0,0
165,22000.0,708.95,50000.0,0
166,6000.0,205.86,94800.0,0
167,16000.0,339.25,40000.0,0
168,2500.0,77.78,12000.0,1
169,13500.0,435.04,36000.0,0
170,25000.0,835.39,225000.0,0
171,10000.0,339.31,45900.0,0
172,2500.0,84.83,27200.0,0
173,7325.0,245.72,42000.0,0
174,4000.0,133.67,135000.0,0
175,10000.0,339.31,65000.0,1
176,7750.0,277.36,24000.0,1
177,20000.0,539.84,70000.0,1
178,9600.0,320.79,65000.0,0
179,21000.0,464.07,60000.0,1
180,14000.0,456.03,30000.0,0
181,13350.0,446.1,43000.0,0
182,15000.0,533.08,42000.0,1
183,15000.0,536.81,75000.0,1
184,11000.0,253.06,129000.0,0
185,35000.0,1140.07,168000.0,0
186,9000.0,293.16,74000.0,0
187,22475.0,537.87,52000.0,0
188,16000.0,536.72,58500.0,1
189,13500.0,452.86,71000.0,0
190,24000.0,805.08,75000.0,0
191,12000.0,390.88,60000.0,0
192,8400.0,207.73,87996.0,0
193,28000.0,704.64,140000.0,0
194,14000.0,429.86,66000.0,0
195,12000.0,411.71,70000.0,1
196,25000.0,826.9,100000.0,0
197,9000.0,301.91,50000.0,0
198,13250.0,431.6,35000.0,0
199,20000.0,678.61,75000.0,0
200,3000.0,103.49,71000.0,0
201,7350.0,239.42,48000.0,0
202,11500.0,400.18,36000.0,0
203,13650.0,456.12,86000.0,1
204,10500.0,370.66,30000.0,1
205,12000.0,386.7,60000.0,0
206,6000.0,190.52,34000.0,0
207,11500.0,400.18,44200.0,0
208,7000.0,233.91,82000.0,0
209,29500.0,786.51,83000.0,0
210,2000.0,69.6,41000.0,0
211,11625.0,394.45,36000.0,0
212,15075.0,517.21,35000.0,1
213,5300.0,184.43,30000.0,0
214,8200.0,251.77,40000.0,0
215,12000.0,400.99,105000.0,0
216,8650.0,296.78,45000.0,0
217,21000.0,294.98,109000.0,0
218,16000.0,399.97,50000.0,0
219,12000.0,400.99,83000.0,0
220,9500.0,318.68,52500.0,1
221,7400.0,251.09,25000.0,0
222,14400.0,488.6,60000.0,0
223,24250.0,519.76,120000.0,0
224,7200.0,225.29,68000.0,1
225,26000.0,642.96,53000.0,1
226,7000.0,154.69,69600.0,1
227,4000.0,124.45,65000.0,0
228,1500.0,53.69,144000.0,0
229,19600.0,654.94,75000.0,0
230,2500.0,82.69,29000.0,0
231,10000.0,335.45,70000.0,1
232,10000.0,307.04,45000.0,0
233,4225.0,141.18,55200.0,0
234,3500.0,109.52,61440.0,0
235,12000.0,368.45,56000.0,0
236,16500.0,523.93,47000.0,0
237,22000.0,603.5,55000.0,0
238,12000.0,413.94,71000.0,0
239,15600.0,352.48,50000.0,1
240,10800.0,360.89,135000.0,0
241,14000.0,467.82,63000.0,0
242,18825.0,473.75,44000.0,0
243,6000.0,203.59,50000.0,0
244,12000.0,386.7,80000.0,0
245,10000.0,334.16,45000.0,0
246,8000.0,250.33,78000.0,0
247,14125.0,455.18,33000.0,0
248,14000.0,469.63,62800.0,0
249,13200.0,224.36,26400.0,0
250,4000.0,146.69,80000.0,0
251,4000.0,134.18,25000.0,1
252,10500.0,319.58,65000.0,0
253,5500.0,172.1,59000.0,0
254,7350.0,243.11,33000.0,0
255,10000.0,334.16,39000.0,1
256,12000.0,373.33,42000.0,0
257,5000.0,110.5,38004.0,0
258,8000.0,176.79,31000.0,0
259,4500.0,142.89,50700.0,0
260,18000.0,601.48,75000.0,0
261,12300.0,282.96,30000.0,0
262,12000.0,407.17,40000.0,0
263,10000.0,339.31,50000.0,0
264,6000.0,187.75,80000.0,0
265,12000.0,402.54,40000.0,0
266,12000.0,381.04,80000.0,1
267,7000.0,231.54,75000.0,0
268,35000.0,690.56,85000.0,0
269,1400.0,43.81,28800.0,0
270,16000.0,368.08,35000.0,1
271,3200.0,103.12,61200.0,0
272,8000.0,250.33,40000.0,0
273,11875.0,268.32,25920.0,1
274,5000.0,152.18,54000.0,0
275,1800.0,55.27,18000.0,0
276,35000.0,1111.37,85000.0,0
277,18000.0,571.56,78000.0,0
278,14000.0,438.07,45600.0,1
279,5000.0,167.08,70000.0,0
280,8000.0,281.1,70000.0,0
281,10000.0,304.36,80000.0,0
282,10000.0,311.11,50000.0,0
283,12000.0,400.99,35000.0,0
284,23200.0,725.94,65000.0,0
285,18000.0,430.78,84000.0,0
286,4800.0,167.03,75000.0,0
287,7300.0,241.46,35000.0,0
288,10400.0,335.14,40000.0,0
289,6600.0,212.69,100000.0,0
290,12000.0,381.04,40000.0,0
291,13250.0,474.19,52000.0,0
292,12000.0,396.92,92500.0,0
293,25000.0,805.63,61000.0,0
294,6000.0,195.44,36000.0,0
295,12000.0,373.33,68000.0,0
296,14400.0,476.3,80000.0,0
297,10000.0,334.16,43000.0,0
298,8000.0,264.61,150000.0,0
299,8000.0,282.41,50000.0,1
300,30000.0,673.72,70000.0,1
301,18000.0,445.13,40000.0,1
302,13250.0,438.26,35000.0,0
303,14000.0,480.33,80000.0,0
304,20000.0,533.23,59000.0,1
305,10000.0,353.01,40000.0,0
306,35000.0,619.88,85000.0,0
307,4000.0,121.75,55000.0,0
308,13000.0,418.93,110000.0,0
309,28000.0,939.26,100000.0,0
310,10000.0,339.31,62000.0,0
311,20000.0,625.81,45000.0,0
312,18000.0,580.05,110000.0,0
313,9000.0,238.0,60000.0,1
314,25000.0,643.58,61500.0,1
315,10000.0,330.76,33000.0,0
316,4200.0,127.83,61000.0,0
317,20000.0,478.64,78216.0,1
318,18000.0,449.97,62000.0,1
319,24000.0,847.21,50964.0,0
320,4475.0,155.72,43680.0,0
321,20000.0,472.14,56000.0,0
322,12000.0,400.99,50700.0,0
323,18000.0,452.98,60000.0,0
324,5000.0,167.08,30000.0,1
325,3000.0,91.31,50000.0,0
326,25000.0,648.93,75000.0,0
327,18000.0,467.23,90000.0,0
328,12000.0,386.7,55000.0,1
329,20000.0,695.96,50000.0,0
330,10000.0,339.31,84000.0,0
331,15000.0,501.23,155000.0,0
332,12000.0,375.49,62000.0,0
333,20000.0,290.64,175000.0,0
334,6300.0,208.38,30000.0,0
335,20000.0,494.59,50000.0,0
336,35000.0,578.71,208000.0,0
337,8250.0,200.45,35004.0,0
338,20000.0,451.9,85000.0,0
339,10000.0,330.76,32000.0,1
340,24000.0,762.08,116400.0,1
341,14400.0,483.05,40000.0,0
342,6000.0,206.97,34000.0,0
343,22000.0,773.03,73000.0,0
344,12000.0,396.92,57200.0,1
345,16000.0,568.62,114000.0,0
346,10000.0,325.74,90000.0,0
347,16000.0,301.76,54000.0,0
348,10000.0,335.45,35000.0,1
349,3500.0,118.76,56000.0,0
350,9600.0,309.36,35000.0,0
351,9875.0,309.0,40000.0,0
352,21500.0,427.19,59000.0,0
353,4800.0,150.2,48000.0,0
354,7800.0,237.4,85000.0,0
355,20000.0,686.18,70000.0,0
356,9750.0,303.34,35000.0,1
357,18000.0,365.67,91000.0,0
358,5000.0,152.18,30000.0,0
359,9000.0,310.45,45000.0,0
360,7200.0,225.29,55000.0,0
361,3000.0,77.88,53004.0,1
362,25000.0,654.31,60000.0,1
363,25000.0,869.95,82000.0,0
364,10000.0,351.38,53000.0,0
365,8875.0,297.72,35360.0,1
366,15550.0,514.34,54000.0,0
367,17000.0,406.85,65000.0,0
368,7500.0,251.59,65000.0,0
369,8875.0,281.81,28800.0,0
370,4500.0,161.05,42000.0,0
371,5800.0,193.81,36000.0,0
372,10000.0,330.76,40000.0,0
373,10000.0,322.25,50000.0,0
374,14000.0,463.07,52000.0,0
375,25000.0,648.93,85000.0,0
376,12000.0,381.04,32000.0,1
377,24000.0,750.97,75000.0,0
378,14000.0,480.33,80000.0,0
379,12000.0,381.04,40246.0,0
380,15000.0,338.93,30000.0,1
381,8050.0,270.04,36000.0,1
382,5600.0,182.42,60000.0,0
383,7500.0,241.69,31200.0,0
384,7000.0,231.54,90000.0,0
385,5400.0,168.97,40000.0,0
386,16000.0,534.65,90000.0,0
387,35000.0,619.26,105000.0,0
388,6000.0,121.38,30084.0,1
389,4125.0,93.21,36000.0,0
390,9800.0,345.95,67000.0,0
391,15700.0,400.82,63000.0,0
392,5000.0,153.52,276000.0,0
393,9900.0,327.46,26400.0,0
394,4000.0,132.31,24000.0,0
395,15000.0,496.14,68400.0,0
396,6250.0,219.61,29120.0,0
397,6400.0,225.93,29120.0,0
398,8850.0,203.6,89122.0,0
399,12000.0,417.58,54000.0,0
400,15000.0,476.3,30000.0,0
401,6500.0,223.01,30000.0,0
402,8000.0,281.1,50000.0,0
403,30000.0,539.47,92000.0,0
404,15000.0,517.42,100500.0,0
405,10200.0,349.96,40000.0,0
406,9000.0,300.74,47000.0,0
407,6500.0,229.46,68000.0,0
408,23000.0,625.86,95000.0,0
409,2000.0,62.59,39600.0,0
410,8000.0,271.45,30000.0,0
411,8875.0,276.11,30000.0,0
412,1500.0,54.72,17000.0,1
413,8000.0,267.33,42000.0,0
414,20000.0,399.55,75000.0,1
415,6500.0,215.0,42000.0,0
416,9600.0,325.74,27000.0,0
417,25975.0,372.25,130000.0,0
418,10000.0,312.91,46000.0,0
419,15000.0,501.23,80000.0,0
420,9000.0,276.34,45000.0,0
421,10000.0,312.91,72500.0,0
422,1000.0,34.5,18408.0,1
423,14000.0,438.07,30000.0,0
424,8500.0,291.63,50000.0,1
425,15000.0,389.36,75000.0,0
426,4500.0,158.12,65000.0,0
427,3000.0,93.34,65000.0,0
428,10000.0,322.25,120000.0,0
429,21250.0,525.5,42500.0,0
430,33425.0,475.63,75000.0,1
431,35000.0,916.03,195000.0,0
432,7200.0,250.55,54990.0,0
433,18000.0,397.77,40000.0,1
434,23000.0,719.68,137000.0,0
435,20000.0,494.59,60000.0,1
436,6000.0,151.0,30120.0,0
437,7000.0,222.28,46000.0,0
438,21000.0,704.45,135000.0,0
439,8250.0,256.67,31500.0,0
440,13000.0,418.93,65000.0,0
441,18000.0,552.67,78000.0,0
442,7200.0,219.14,60000.0,0
443,16500.0,523.93,48000.0,0
444,8125.0,254.24,25000.0,0
445,18800.0,584.89,82000.0,0
446,26800.0,982.79,82000.0,0
447,19200.0,600.78,42000.0,0
448,12875.0,213.28,27600.0,0
449,4000.0,133.67,38000.0,0
450,4000.0,141.21,35000.0,0
451,12000.0,386.7,33000.0,0
452,2625.0,86.83,52800.0,0
453,18000.0,414.09,40900.0,0
454,7000.0,225.58,73882.0,0
455,11300.0,379.06,36000.0,0
456,4000.0,128.9,130000.0,0
457,8000.0,243.49,57200.0,0
458,14400.0,522.41,51871.0,1
459,4375.0,146.2,15000.0,0
460,4100.0,127.56,70197.0,0
461,6000.0,190.52,47000.0,0
462,4200.0,105.0,43000.0,1
463,4000.0,122.82,120000.0,0
464,3000.0,97.72,86004.0,1
465,5400.0,181.15,75000.0,0
466,15000.0,529.51,110000.0,1
467,20000.0,514.86,80000.0,0
468,10400.0,348.87,44000.0,0
469,4500.0,113.25,51600.0,0
470,11500.0,384.28,38500.0,0
471,10000.0,307.04,75000.0,0
472,18225.0,309.42,37320.0,0
473,3600.0,114.32,55000.0,0
474,18500.0,292.81,100000.0,0
475,16800.0,428.9,70000.0,0
476,10000.0,357.88,68000.0,1
477,15000.0,544.17,66000.0,0
478,8000.0,264.61,85000.0,0
479,25000.0,443.89,83004.0,0
480,16000.0,500.65,51000.0,1
481,8000.0,260.59,55000.0,0
482,7200.0,224.0,47000.0,0
483,12000.0,373.33,86000.0,0
484,2200.0,76.56,48000.0,1
485,20000.0,451.9,49000.0,0
486,28000.0,628.81,85000.0,0
487,6000.0,186.67,50000.0,0
488,25000.0,654.31,105000.0,1
489,8000.0,165.68,51204.0,1
490,14400.0,501.09,42996.0,0
491,20000.0,355.62,60000.0,0
492,25000.0,467.0,85000.0,0
493,14050.0,446.14,120000.0,0
494,6000.0,203.59,62691.0,0
495,16100.0,355.79,36000.0,0
496,35000.0,619.88,85000.0,1
497,10525.0,329.33,49668.0,0
498,7200.0,252.99,30000.0,0
499,18500.0,340.24,40000.0,0
500,12000.0,407.17,40000.0,0
501,12000.0,396.92,100000.0,0
502,3000.0,99.23,56312.0,0
503,9500.0,335.36,54011.0,0
504,19775.0,660.79,49110.32,0
505,12000.0,283.28,75000.0,1
506,28000.0,655.44,95000.0,0
507,30000.0,1002.46,80000.0,0
508,16000.0,521.18,55000.0,0
509,14500.0,500.17,90000.0,0
510,11700.0,276.2,68500.0,0
511,4150.0,135.18,100000.0,0
512,15000.0,331.48,72000.0,0
513,24000.0,852.93,70000.0,0
514,21250.0,710.08,37000.0,1
515,10000.0,343.09,75000.0,0
516,25000.0,638.25,75000.0,0
517,4000.0,140.55,39000.0,0
518,15000.0,496.14,60000.0,0
519,20000.0,460.1,68000.0,0
520,15000.0,377.49,110000.0,0
521,3600.0,126.5,40000.0,0
522,6000.0,155.75,31000.0,0
523,15000.0,521.97,60000.0,1
524,12000.0,306.36,43000.0,0
525,12375.0,385.0,42000.0,0
526,4000.0,134.18,30000.0,1
527,13000.0,423.46,50000.0,0
528,5000.0,153.52,39396.0,0
529,5000.0,175.69,98000.0,0
530,26000.0,859.98,62500.0,0
531,15000.0,386.15,95000.0,0
532,4000.0,105.78,45000.0,1
533,8000.0,250.33,32400.0,0
534,1700.0,53.2,37800.0,1
535,16000.0,515.6,50000.0,0
536,20000.0,424.06,114996.0,0
537,12000.0,413.94,54400.0,1
538,7000.0,231.54,72800.0,0
539,8000.0,213.29,42500.0,1
540,13000.0,370.38,61000.0,0
541,13000.0,458.91,28000.0,1
542,20000.0,544.23,120000.0,0
543,18000.0,610.75,96000.0,0
544,10000.0,353.01,83200.0,0
545,22250.0,532.49,45000.0,0
546,24000.0,603.98,68809.0,1
547,11200.0,374.26,75000.0,1
548,7000.0,228.02,52000.0,0
549,8000.0,243.49,57600.0,0
550,22500.0,556.41,48500.0,0
551,12000.0,429.45,95000.0,0
552,22000.0,758.88,58000.0,0
553,6200.0,201.96,24000.0,0
554,15900.0,512.38,58000.0,0
555,5000.0,158.77,70000.0,0
556,16000.0,491.26,104000.0,0
557,5000.0,165.38,35000.0,0
558,3150.0,109.62,53000.0,0
559,12000.0,411.71,28000.0,1
560,28000.0,876.13,118000.0,1
561,5000.0,167.08,40000.0,0
562,3000.0,96.68,42000.0,0
563,3000.0,93.88,65000.0,1
564,8400.0,257.92,25000.0,0
565,7000.0,228.02,36000.0,0
566,18550.0,303.6,45000.0,0
567,2000.0,64.45,231252.0,0
568,12000.0,226.63,65000.0,0
569,8575.0,308.21,32000.0,1
570,28000.0,418.27,84996.0,1
571,10000.0,312.91,66000.0,0
572,25000.0,921.72,92000.0,0
573,8000.0,264.61,70000.0,0
574,16000.0,408.48,49000.0,1
575,25000.0,826.9,76896.0,0
576,2000.0,64.45,24000.0,0
577,16800.0,579.51,60000.0,0
578,8000.0,254.03,120000.0,0
579,12000.0,271.14,57000.0,0
580,11000.0,344.2,80000.0,1
581,5000.0,176.51,85000.0,1
582,18000.0,635.41,140000.0,0
583,10000.0,335.45,36000.0,1
584,5000.0,161.13,70000.0,0
585,10000.0,353.01,51360.0,0
586,25000.0,805.63,163000.0,0
587,2400.0,80.51,59393.0,0
588,3000.0,105.91,65000.0,1
589,7700.0,273.65,29772.96,1
590,2400.0,81.44,12996.0,0
591,18500.0,309.54,68000.0,0
592,5000.0,162.87,44475.0,0
593,14000.0,503.19,88000.0,0
594,24500.0,661.3,85000.0,1
595,2400.0,78.18,36000.0,0
596,1800.0,60.15,117000.0,0
597,22200.0,818.49,160000.0,1
598,21400.0,560.09,80000.0,0
599,13000.0,406.78,28000.0,1
600,8000.0,268.36,48000.0,0
601,3600.0,120.77,60000.0,1
602,12375.0,349.79,40000.0,1
603,9400.0,302.92,45500.0,0
604,9600.0,329.37,156000.0,0
605,17000.0,553.75,40000.0,0
606,25000.0,448.41,96000.0,0
607,16950.0,419.16,50000.0,0
608,30000.0,500.33,80000.0,0
609,10800.0,370.54,110000.0,0
610,6000.0,187.75,59400.0,0
611,35000.0,1111.37,106000.0,0
612,10000.0,325.74,36000.0,0
613,15000.0,396.66,51000.0,0
614,5000.0,167.73,25000.0,0
615,3000.0,75.0,35000.0,0
616,7100.0,244.91,33000.0,1
617,12000.0,426.47,93000.0,0
618,22400.0,628.13,85000.0,1
619,5825.0,189.74,50000.0,0
620,22250.0,746.38,41000.0,1
621,18000.0,445.13,50000.0,0
622,6000.0,200.5,30000.0,0
623,7650.0,253.04,57000.0,1
624,21000.0,536.13,110000.0,0
625,20675.0,494.8,50132.0,1
626,13200.0,413.04,62500.0,0
627,12000.0,373.33,60000.0,0
628,20000.0,324.47,130000.0,0
629,15000.0,456.54,60000.0,0
630,27050.0,696.35,65000.0,0
631,22500.0,562.46,67735.0,0
632,20500.0,463.2,47800.0,1
633,12800.0,427.72,99600.0,0
634,27575.0,898.21,54000.0,0
635,7000.0,234.82,49000.0,0
636,7600.0,187.95,33996.0,0
637,29000.0,651.27,65000.0,1
638,10000.0,343.09,44160.0,0
639,14125.0,441.98,32000.0,0
640,12000.0,368.45,94500.0,0
641,9575.0,293.99,19498.0,0
642,12000.0,237.29,30000.0,0
643,12000.0,421.65,88000.0,1
644,10000.0,335.45,45000.0,0
645,10000.0,351.38,37500.0,0
646,25000.0,585.22,89000.0,0
647,24000.0,773.4,120000.0,0
648,14575.0,474.76,35000.0,0
649,9000.0,280.0,50000.0,0
650,10000.0,339.31,30000.0,1
651,7125.0,256.09,25279.67,0
652,15000.0,323.53,29000.0,0
653,13000.0,441.1,65000.0,0
654,12000.0,271.14,30000.0,0
655,18000.0,479.9,68000.0,0
656,30000.0,702.26,90000.0,0
657,21600.0,773.01,58600.0,1
658,7600.0,187.95,50000.0,0
659,7000.0,233.91,85000.0,0
660,7000.0,222.28,45000.0,0
661,3600.0,128.84,44004.0,0
662,3500.0,117.41,84996.0,0
663,5000.0,158.77,33000.0,0
664,10000.0,330.76,60000.0,0
665,4500.0,152.69,19200.0,0
666,12000.0,396.92,62000.0,0
667,12000.0,311.49,38500.0,0
668,10700.0,357.55,68000.0,0
669,6000.0,195.44,30000.0,0
670,20000.0,625.81,50000.0,0
671,10800.0,267.08,23000.0,0
672,25000.0,416.62,50400.0,0
673,20000.0,468.17,110000.0,0
674,3600.0,122.15,40000.0,0
675,6000.0,190.52,83954.0,0
676,10375.0,355.96,35000.0,0
677,25000.0,793.84,60000.0,0
678,10000.0,353.01,40000.0,0
679,10000.0,194.26,42336.0,0
680,5600.0,170.44,41100.0,0
681,6000.0,200.5,92000.0,0
682,8000.0,250.33,75000.0,0
683,35000.0,489.57,90000.0,0
684,10000.0,330.76,45000.0,0
685,11000.0,342.22,48000.0,0
686,5000.0,161.13,110000.0,0
687,6500.0,211.73,30600.0,0
688,20000.0,533.23,69000.0,0
689,12000.0,402.54,45000.0,0
690,8250.0,218.17,27500.0,1
691,21000.0,657.1,150500.0,0
692,8400.0,298.53,32000.0,0
693,7000.0,234.82,37500.0,0
694,12000.0,400.99,60000.0,1
695,7200.0,238.15,33000.0,1
696,12000.0,390.88,70000.0,0
697,12800.0,299.63,75000.0,0
698,3050.0,98.29,16800.0,0
699,9000.0,310.45,38000.0,0
700,10000.0,330.76,35000.0,1
701,10000.0,322.25,95000.0,0
702,10000.0,343.09,77400.0,1
703,8500.0,300.06,61000.0,0
704,35000.0,470.14,70000.0,0
705,7200.0,165.64,67000.0,0
706,21000.0,491.58,90000.0,0
707,27000.0,870.08,140000.0,0
708,28625.0,763.18,55000.0,0
709,4000.0,137.24,32400.0,0
710,7300.0,241.46,50000.0,0
711,18000.0,571.56,70000.0,0
712,5000.0,165.38,35000.0,0
713,6500.0,152.16,46212.0,0
714,14100.0,354.84,43000.0,0
715,35000.0,572.36,140000.0,0
716,10000.0,343.09,115000.0,0
717,3000.0,93.88,45000.0,0
718,25000.0,397.8,95000.0,0
719,28000.0,983.85,235000.0,0
720,10000.0,344.95,36000.0,0
721,12000.0,375.49,26000.0,0
722,10000.0,357.88,80000.0,0
723,11000.0,349.29,50000.0,0
724,10000.0,347.98,55000.0,0
725,5000.0,153.52,55000.0,0
726,5000.0,152.18,64424.0,0
727,5000.0,158.77,56000.0,0
728,6000.0,205.86,30000.0,1
729,5000.0,171.55,111740.0,0
730,20050.0,720.64,67500.0,0
731,7000.0,248.77,41000.0,1
732,25000.0,814.34,120000.0,0
733,3000.0,100.64,30000.0,1
734,8400.0,300.62,41500.0,0
735,24925.0,715.75,60000.0,0
736,5000.0,161.13,75000.0,0
737,12000.0,280.91,80000.0,0
738,12000.0,400.99,42000.0,0
739,13200.0,436.61,41600.0,1
740,6000.0,182.62,48000.0,0
741,10000.0,307.04,50000.0,0
742,17500.0,393.01,70000.0,0
743,6500.0,211.73,53000.0,0
744,10000.0,311.11,65000.0,0
745,12000.0,386.7,85000.0,0
746,10000.0,343.09,55000.0,0
747,12375.0,424.58,36000.0,0
748,10000.0,325.74,26000.0,0
749,20000.0,510.6,70000.0,1
750,4400.0,161.36,80000.0,0
751,25000.0,848.27,80000.0,0
752,14125.0,472.0,45696.0,1
753,35000.0,581.88,100000.0,0
754,13600.0,307.29,62000.0,0
755,20000.0,451.9,50000.0,0
756,18000.0,610.75,66000.0,1
757,13000.0,321.48,80000.0,0
758,35000.0,1243.85,100000.0,0
759,35000.0,1200.82,123000.0,0
760,12000.0,265.18,70000.0,0
761,7200.0,244.3,60000.0,0
762,25000.0,386.93,150000.0,0
763,4000.0,134.18,80000.0,0
764,7000.0,217.78,31000.0,0
765,15000.0,508.96,90000.0,0
766,12800.0,282.86,61600.0,0
767,35000.0,576.27,71316.0,1
768,15000.0,370.94,42000.0,0
769,7200.0,225.29,34000.0,0
770,13000.0,465.24,36000.0,0
771,28000.0,876.13,65000.0,0
772,12000.0,386.7,35000.0,0
773,16000.0,402.65,50000.0,1
774,14000.0,444.55,62004.0,0
